title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
Ghostbusters (1984),158097,blu_ray,Sony Pictures,Action; Sci-Fi; Fantasy; Comedy; Supernatural,8.4,3D = 0.0; 4K = 0.0; Audio = 4.2; Extras = 4.0; Video = 4.2,https://images2.static-bluray.com/movies/covers/158097_medium.jpg?t=1466530089,"Jul 05, 2016"
Ghostbusters II (1989),158096,blu_ray,Sony Pictures,Action; Sci-Fi; Fantasy; Comedy; Supernatural,6.8,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 3.5; Video = 5.0,https://images.static-bluray.com/movies/covers/158096_medium.jpg?t=1466613264,"Jul 05, 2016"
Ghoulies / Ghoulies II (1985-1988),114702,blu_ray,Shout Factory,Horror; Dark humor; Fantasy,5.3,3D = 0.0; 4K = 0.0; Audio = 2.5; Extras = 3.0; Video = 3.2,https://images3.static-bluray.com/movies/covers/114702_medium.jpg?t=1420841641,1988
Gladiator 4K (2000),200174,blu_ray,Paramount Pictures,Action; Adventure; Epic; History; Drama,8.6,3D = 0.0; 4K = 4.3; Audio = 4.7; Extras = 4.5; Video = 4.8,https://images4.static-bluray.com/movies/covers/200174_medium.jpg?t=1520435593,"May 15, 2018"
The Godfather Trilogy (1972-1990),187391,blu_ray,Paramount Pictures,Drama; Epic; Crime; Period; Melodrama,8.5,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 5.0; Video = 5.0,https://images3.static-bluray.com/movies/covers/187391_medium.jpg?t=1517850236,1990
Gods and Generals (2003),30056,blu_ray,Warner Bros.,War; Drama; History; Epic; Action,6.8,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.5; Video = 4.0,https://images4.static-bluray.com/movies/covers/30056_medium.jpg?t=1420893551,"Nov 15, 2011"
Gods of Egypt (2016),224885,blu_ray,Lionsgate Films,Action; Adventure; Fantasy; Supernatural,5.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/224885_medium.jpg?t=1549256004,"Feb 05, 2019"
Godzilla (1954-1956),31499,blu_ray,Criterion,Foreign; Horror; Drama; Sci-Fi; Thriller; Action,8.1,3D = 0.0; 4K = 0.0; Audio = 4.3; Extras = 4.7; Video = 4.1,https://images2.static-bluray.com/movies/covers/31499_medium.jpg?t=1541187243,1956
Godzilla (2014),78769,blu_ray,Warner Bros.,Action; Sci-Fi; Adventure; Fantasy; Thriller,7.2,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 3.0; Video = 4.6,https://images.static-bluray.com/movies/covers/78769_medium.jpg?t=1500940228,"Sep 16, 2014"
Godzilla: King of the Monsters 4K (2019),241755,blu_ray,Warner Bros.,Sci-Fi; Action; Adventure; Fantasy; Thriller,7,3D = 0.0; 4K = 4.5; Audio = 4.9; Extras = 4.0; Video = 4.5,https://images4.static-bluray.com/movies/covers/241755_medium.jpg?t=1562676402,"Aug 27, 2019"
"Godzilla: The Showa-Era Films, 1954-1975 (1954-1975)",248527,blu_ray,Criterion,Foreign; Sci-Fi; Fantasy; Action; Horror; Supernatural; Drama; Thriller; Surreal; Adventure; Imaginary; Family,6.7,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 1.6; Video = 3.8,https://images4.static-bluray.com/movies/covers/248527_overview.jpg?t=1583284816,1975
Godzilla 1984 (1984),156546,blu_ray,Kraken Releasing,Foreign; Sci-Fi; Fantasy; Action,7.2,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 1.2; Video = 3.0,https://images3.static-bluray.com/movies/covers/156546_medium.jpg?t=1581812560,"Sep 13, 2016"
Godzilla on Monster Island (1972),95717,blu_ray,Kraken Releasing,Foreign; Sci-Fi; Fantasy; Action,6.7,3D = 0.0; 4K = 0.0; Audio = 3.8; Extras = 0.8; Video = 3.8,https://images3.static-bluray.com/movies/covers/95717_medium.jpg?t=1394655539,"May 06, 2014"
Godzilla vs. Biollante (1989),109171,blu_ray,Lionsgate Films,Sci-Fi; Foreign; Fantasy; Action; Supernatural,7.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/109171_medium.jpg?t=1406751486,"Oct 07, 2014"
Gone Are the Days (2018),198884,blu_ray,Lionsgate Films,Western,6.8,3D = 0.0; 4K = 0.0; Audio = 3.0; Extras = 1.5; Video = 4.0,https://images4.static-bluray.com/movies/covers/198884_medium.jpg?t=1518177455,"Apr 10, 2018"
The Goonies (1985),216723,blu_ray,Warner Bros.,Comedy; Family; Adventure; Mystery,7.9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/216723_medium.jpg?t=1540104815,"Oct 02, 2018"
Grandmother's House (1989),238174,blu_ray,Vinegar Syndrome,Horror,6.8,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.0; Video = 5.0,https://images.static-bluray.com/movies/covers/238174_medium.jpg?t=1552692952,"Apr 30, 2019"
The Great Wall (2016),174022,blu_ray,Universal Studios,Action; Adventure; Fantasy; Thriller; Mystery,6.2,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 3.1; Video = 4.9,https://images2.static-bluray.com/movies/covers/174022_medium.jpg?t=1490680861,"May 23, 2017"
Gremlins 2: The New Batch (1990),20588,blu_ray,Warner Bros.,Horror; Comedy; Fantasy; Sci-Fi,7.1,3D = 0.0; 4K = 0.0; Audio = 3.9; Extras = 3.2; Video = 4.0,https://images.static-bluray.com/movies/covers/20588_medium.jpg?t=1403337737,"May 08, 2012"
Grindhouse (2007),195130,blu_ray,Cinedigm,Horror; Thriller; Dark humor; Action,7.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/195130_medium.jpg?t=1537337502,"Nov 06, 2018"
The Guest (2014),113405,blu_ray,Universal Studios,Horror; Dark humor; Mystery; Thriller; Crime; Action,7.6,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 3.5; Video = 4.2,https://images2.static-bluray.com/movies/covers/113405_medium.jpg?t=1421181639,"Jan 06, 2015"
Guns (1990),246442,blu_ray,Mill Creek Entertainment,Erotic; Thriller; Comedy; Adventure; Action,6.9,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 2.0; Video = 3.5,https://images2.static-bluray.com/movies/covers/246442_medium.jpg?t=1561759311,"Sep 17, 2019"
Halloween: The Complete Collection (1978-2009),104042,blu_ray,Starz / Anchor Bay,Horror; Thriller; Supernatural; Surreal,6.2,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.0; Video = 4.5,https://images.static-bluray.com/movies/covers/104042_medium.jpg?t=1403334294,2009
Halloween 4K (2018),245766,blu_ray,Universal Studios,Horror; Thriller,7.2,3D = 0.0; 4K = 4.0; Audio = 4.0; Extras = 2.5; Video = 4.5,https://images4.static-bluray.com/movies/covers/245766_medium.jpg?t=1560962851,"Aug 11, 2019"
Hands of Steel (1986),158298,blu_ray,88 Films,Action; Sci-Fi,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/158298_medium.jpg?t=1572960554,"Dec 26, 2016"
The Hangover (2009),158251,blu_ray,Warner Bros.,Comedy; Dark humor,7.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/158251_medium.jpg?t=1466172379,"Oct 06, 2015"
Hannibal 4K (2001),232656,blu_ray,Kino Lorber,Thriller; Crime; Psychological thriller; Mystery; Drama,6.6,3D = 0.0; 4K = 4.8; Audio = 4.5; Extras = 4.2; Video = 4.5,https://images2.static-bluray.com/movies/covers/232656_medium.jpg?t=1549482786,"May 07, 2019"
Happy Birthday to Me (1981),224363,blu_ray,Mill Creek Entertainment,Horror; Thriller; Mystery,6.5,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 0.0; Video = 4.0,https://images2.static-bluray.com/movies/covers/224363_medium.jpg?t=1546342471,"Jan 15, 2019"
Hard Ticket to Hawaii (1987),231212,blu_ray,Mill Creek Entertainment,Erotic; Thriller; Comedy; Adventure; Action,5.8,3D = 0.0; 4K = 0.0; Audio = 2.5; Extras = 3.0; Video = 4.5,https://images3.static-bluray.com/movies/covers/231212_medium.jpg?t=1548358736,"Apr 16, 2019"
The Hateful Eight (2015),123505,blu_ray,Starz / Anchor Bay,Dark humor; Period; Western; Thriller; Mystery,7.9,3D = 0.0; 4K = 0.0; Audio = 4.7; Extras = 1.9; Video = 5.0,https://images4.static-bluray.com/movies/covers/123505_medium.jpg?t=1456098039,"Mar 29, 2016"
The Hearse (1980),175374,blu_ray,Vinegar Syndrome,Horror; Mystery; Thriller,5.9,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 3.5; Video = 4.8,https://images.static-bluray.com/movies/covers/175374_medium.jpg?t=1491593754,"May 30, 2017"
Heat (1995),135044,blu_ray,20th Century Fox,Crime; Drama; Thriller; Action; Heist; Psychological thriller; Film-Noir,8.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/135044_medium.jpg?t=1453278609,"Aug 11, 2015"
Hell Comes to Frogtown (1987),248079,blu_ray,Vinegar Syndrome,Dark humor; Sci-Fi; Fantasy,6.3,3D = 0.0; 4K = 0.0; Audio = 3.8; Extras = 3.8; Video = 4.5,https://images4.static-bluray.com/movies/covers/248079_medium.jpg?t=1563305968,"Aug 27, 2019"
Hell Night (1981),90161,blu_ray,Shout Factory,Horror,6.3,3D = 0.0; 4K = 0.0; Audio = 3.2; Extras = 5.0; Video = 2.8,https://images.static-bluray.com/movies/covers/90161_medium.jpg?t=1504712979,"Jan 02, 2018"
Hell or High Water 4K (2016),166456,blu_ray,Lionsgate Films,Drama; Western; Heist; Thriller; Crime,8.1,3D = 0.0; 4K = 4.2; Audio = 4.5; Extras = 3.5; Video = 4.5,https://images2.static-bluray.com/movies/covers/166456_medium.jpg?t=1510606901,"Feb 13, 2018"
Hellmaster (1992),245496,blu_ray,Vinegar Syndrome,Horror,6.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.5; Video = 5.0,https://images4.static-bluray.com/movies/covers/245496_medium.jpg?t=1560480956,"Jul 30, 2019"
Hellraiser: The Scarlet Box (1987-1992),165982,blu_ray,Arrow,Horror; Thriller; Fantasy,6.8,3D = 0.0; 4K = 0.0; Audio = 4.1; Extras = 5.0; Video = 3.9,https://images3.static-bluray.com/movies/covers/165982_medium.jpg?t=1476228045,1992
Hercules (1983),178846,blu_ray,Shout Factory,Fantasy; Adventure; Action; Drama; Epic,5.7,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 3.0; Video = 4.0,https://images4.static-bluray.com/movies/covers/178846_medium.jpg?t=1493777334,"Aug 22, 2017"
Hidden Figures (2016),171653,blu_ray,20th Century Fox,Biography; History; Period; Drama,7.7,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.0; Video = 4.5,https://images.static-bluray.com/movies/covers/171653_medium.jpg?t=1491000603,"Apr 11, 2017"
The Hidden Fortress (1958),147156,blu_ray,Criterion,Foreign; Period; Adventure,8.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/147156_medium.jpg?t=1544933009,"Mar 29, 2016"
High-Ballin' (1978),238832,blu_ray,Kino Lorber,Action; Comedy; Drama,6.3,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 1.0; Video = 4.5,https://images4.static-bluray.com/movies/covers/238832_medium.jpg?t=1572638973,"Jan 21, 2020"
Highlander (1986),216737,blu_ray,Lionsgate Films,Action; Adventure; Fantasy,7.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/216737_medium.jpg?t=1539055061,"Oct 02, 2018"
The Hills Have Eyes (1977),157624,blu_ray,Arrow,Horror; Thriller,6.6,3D = 0.0; 4K = 0.0; Audio = 3.9; Extras = 4.7; Video = 3.4,https://images.static-bluray.com/movies/covers/157624_medium.jpg?t=1509949406,"Oct 11, 2016"
Hired to Kill (1990),149730,blu_ray,Arrow,Action; Thriller,6.2,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 3.2; Video = 4.0,https://images4.static-bluray.com/movies/covers/149730_medium.jpg?t=1454709017,"May 17, 2016"
Hobgoblins (1988),163473,blu_ray,Vinegar Syndrome,Horror,4.4,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 4.5; Video = 5.0,https://images4.static-bluray.com/movies/covers/163473_medium.jpg?t=1472688657,"Oct 25, 2016"
Hobo with a Shotgun (2011),23330,blu_ray,Magnolia Pictures,Thriller; Dark humor; Crime; Action,6.6,3D = 0.0; 4K = 0.0; Audio = 4.2; Extras = 4.0; Video = 4.6,https://images3.static-bluray.com/movies/covers/23330_medium.jpg?t=1449397396,"Jul 05, 2011"
Hornets' Nest (1970),109119,blu_ray,Kino Lorber,Action; Drama; War,6.1,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 1.0; Video = 3.5,https://images3.static-bluray.com/movies/covers/109119_medium.jpg?t=1436597832,"Sep 08, 2015"
The Horror of Party Beach (1964),210092,blu_ray,Severin Films,Horror; Musical,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/210092_medium.jpg?t=1531509026,"Aug 28, 2018"
Hostel / Hostel: Part II (2005-2007),225916,blu_ray,Mill Creek Entertainment,Horror; Thriller; Mystery,5.9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/225916_medium.jpg?t=1543890522,2007
House: The Collection (1985-1992),244493,blu_ray,Arrow,Horror; Thriller; Supernatural; Comedy; Fantasy,6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/244493_medium.jpg?t=1566901441,1992
The House on Tombstone Hill (1989),119034,blu_ray,Vinegar Syndrome,Horror,6.9,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 4.5,https://images2.static-bluray.com/movies/covers/119034_medium.jpg?t=1534272943,"Sep 25, 2018"
The House Where Evil Dwells / Ghost Warrior (1982-1984),142497,blu_ray,Shout Factory,Horror; Supernatural; Sci-Fi; Action,6.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/142497_medium.jpg?t=1444709917,1984
The Howling (1981),204624,blu_ray,Shout Factory,Horror; Mystery,7.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/204624_medium.jpg?t=1525315460,"Aug 14, 2018"
Howling II: Your Sister Is a Werewolf (1985),70463,blu_ray,Shout Factory,Horror; Dark humor,5.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 3.5,https://images2.static-bluray.com/movies/covers/70463_medium.jpg?t=1435237614,"Jul 14, 2015"
Häxan (1922),78547,blu_ray,Criterion,Foreign; Horror; Documentary; Supernatural; Fantasy,7.3,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 4.0; Video = 5.0,https://images3.static-bluray.com/movies/covers/78547_medium.jpg?t=1563466811,"Oct 15, 2019"
I Escaped From Devil's Island / The Final Option (1973-1982),100783,blu_ray,Shout Factory,Thriller; Adventure; Drama; Action,6,3D = 0.0; 4K = 0.0; Audio = 2.8; Extras = 0.0; Video = 3.0,https://images3.static-bluray.com/movies/covers/100783_medium.jpg?t=1397010559,1982
Ice Cream Man (1995),220670,blu_ray,Vinegar Syndrome,Horror; Dark humor; Comedy,6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/220670_medium.jpg?t=1543225224,"Dec 11, 2018"
In the Mouth of Madness (1994),202474,blu_ray,Shout Factory,Horror; Mystery; Surreal; Thriller; Fantasy,7.5,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 4.5; Video = 5.0,https://images.static-bluray.com/movies/covers/202474_medium.jpg?t=1523392984,"Jul 24, 2018"
Inception 4K (2010),187699,blu_ray,Warner Bros.,Action; Adventure; Sci-Fi; Epic; Thriller; Crime; Mystery; Surreal; Heist,8.7,3D = 0.0; 4K = 4.4; Audio = 4.8; Extras = 4.2; Video = 4.7,https://images4.static-bluray.com/movies/covers/187699_medium.jpg?t=1511200671,"Dec 19, 2017"
The Incredible Melting Man (1977),58216,blu_ray,Shout Factory,Horror; Sci-Fi,6.1,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 3.2; Video = 4.0,https://images4.static-bluray.com/movies/covers/58216_medium.jpg?t=1390461980,"Jul 30, 2013"
Independence Day (1996),165818,blu_ray,20th Century Fox,Action; Adventure; Sci-Fi; Thriller,7.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 4.0,https://images.static-bluray.com/movies/covers/165818_medium.jpg?t=1510705555,"Oct 02, 2016"
Indiana Jones: The Complete Adventures (1981-2008),3956,blu_ray,Paramount Pictures,Adventure; Action; Period; Supernatural,7.9,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 4.5; Video = 4.5,https://images3.static-bluray.com/movies/covers/3956_medium.jpg?t=1355061438,2008
Inglourious Basterds (2009),246205,blu_ray,Universal Studios,Dark humor; Period; Drama; War; Adventure,8.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/246205_medium.jpg?t=1561403690,"Jul 15, 2019"
Intruder (1989),17818,blu_ray,Synapse Films,Horror; Thriller; Crime,7,3D = 0.0; 4K = 0.0; Audio = 4.1; Extras = 4.5; Video = 3.9,https://images.static-bluray.com/movies/covers/17818_medium.jpg?t=1317828885,"Dec 13, 2011"
Invasion of the Blood Farmers (1972),230581,blu_ray,Severin Films,Horror,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/230581_medium.jpg?t=1547670656,"Feb 26, 2019"
Invasion of the Body Snatchers (1978),27573,blu_ray,Metro-Goldwyn-Mayer,Horror; Sci-Fi,7.9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/27573_medium.jpg?t=1387756073,"Sep 13, 2011"
Invasion U.S.A. (1985),62475,blu_ray,Shout Factory,Action; Thriller,6.3,3D = 0.0; 4K = 0.0; Audio = 3.9; Extras = 3.3; Video = 4.2,https://images2.static-bluray.com/movies/covers/62475_medium.jpg?t=1455115020,"Mar 15, 2016"
Island of Terror (1966),173569,blu_ray,Shout Factory,Horror; Sci-Fi,6.9,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.5; Video = 4.5,https://images.static-bluray.com/movies/covers/173569_medium.jpg?t=1499307043,"Jun 20, 2017"
It (1990),213966,blu_ray,Warner Bros.,Horror; Supernatural; Coming of age,7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/213966_medium.jpg?t=1540120692,"Oct 02, 2018"
It 4K (2017),188924,blu_ray,Warner Bros.,Horror; Supernatural; Teen; Coming of age; Thriller,7.9,3D = 0.0; 4K = 3.8; Audio = 4.6; Extras = 3.7; Video = 4.6,https://images2.static-bluray.com/movies/covers/188924_medium.jpg?t=1510738528,"Jan 09, 2018"
"It's a Mad, Mad, Mad, Mad World (1963)",183916,blu_ray,Criterion,Action; Adventure; Comedy; Crime; Epic,8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/183916_medium.jpg?t=1544910128,"Oct 10, 2017"
It's Alive Trilogy (1974-1987),198040,blu_ray,Shout Factory,Horror; Sci-Fi,6,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 2.5; Video = 4.0,https://images4.static-bluray.com/movies/covers/198040_medium.jpg?t=1518634912,1987
Jack Frost (1997),166598,blu_ray,Vinegar Syndrome,Horror; Supernatural; Dark humor; Holiday; Comedy,5.8,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 4.0; Video = 5.0,https://images3.static-bluray.com/movies/covers/166598_medium.jpg?t=1478485142,"Dec 13, 2016"
Jack the Ripper (1959),193406,blu_ray,Severin Films,Horror; Mystery; Thriller; Crime,6.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/193406_medium.jpg?t=1544492000,"Jan 16, 2018"
Jake Speed (1986),253815,blu_ray,Arrow,Action; Adventure; Comedy,6.5,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 1.5; Video = 3.5,https://images4.static-bluray.com/movies/covers/253815_medium.jpg?t=1569615609,"Dec 03, 2019"
Jeepers Creepers (2001),151616,blu_ray,Shout Factory,Horror; Thriller; Supernatural; Teen; Mystery,6.7,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 5.0; Video = 5.0,https://images4.static-bluray.com/movies/covers/151616_medium.jpg?t=1457211786,"Jun 14, 2016"
Jeepers Creepers 2 (2003),151617,blu_ray,Shout Factory,Horror; Thriller,5.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/151617_medium.jpg?t=1457211804,"Jun 14, 2016"
John Wick: Chapter 2 4K (2017),170797,blu_ray,Lionsgate Films,Action; Thriller; Martial arts; Crime,8,3D = 0.0; 4K = 4.6; Audio = 4.9; Extras = 4.2; Video = 4.8,https://images.static-bluray.com/movies/covers/170797_medium.jpg?t=1491270528,"Jun 13, 2017"
John Wick: Chapter 3 - Parabellum 4K (2019),242809,blu_ray,Lionsgate Films,Action; Martial arts; Thriller; Crime,8,3D = 0.0; 4K = 4.6; Audio = 4.8; Extras = 3.5; Video = 4.6,https://images3.static-bluray.com/movies/covers/242809_medium.jpg?t=1564477170,"Sep 10, 2019"
John Wick 4K (2014),169542,blu_ray,Lionsgate Films,Action; Thriller; Martial arts; Crime,8,3D = 0.0; 4K = 4.2; Audio = 4.6; Extras = 3.2; Video = 4.4,https://images3.static-bluray.com/movies/covers/169542_medium.jpg?t=1482282191,"Feb 07, 2017"
Joy Ride (2001),26163,blu_ray,20th Century Fox,Horror; Thriller; Teen; Mystery; Crime,6.9,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.0; Video = 4.2,https://images4.static-bluray.com/movies/covers/26163_medium.jpg?t=1397895343,"Sep 10, 2013"
Jurassic Park (1993),125415,blu_ray,Universal Studios,Adventure; Action; Sci-Fi; Thriller,8.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/125415_medium.jpg?t=1433040739,"May 12, 2015"
Keoma (1976),231500,blu_ray,Arrow,Foreign; Drama; Western; Action,7.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.5; Video = 5.0,https://images3.static-bluray.com/movies/covers/231500_medium.jpg?t=1548452267,"Apr 16, 2019"
Kill Bill: Volume 1 (2003),90720,blu_ray,Lionsgate Films,Thriller; Crime; Action; Dark humor; Martial arts,8.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/90720_medium.jpg?t=1385097407,"Nov 24, 2013"
Kill Bill: Volume 2 (2004),90721,blu_ray,Lionsgate Films,Thriller; Crime; Action; Dark humor; Martial arts,8.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/90721_medium.jpg?t=1385097516,"Nov 24, 2013"
Kill Them All and Come Back Alone (1968),239611,blu_ray,Kino Lorber,Western,6.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/239611_medium.jpg?t=1572039352,"Jan 07, 2020"
Killer Crocodile (1989),247686,blu_ray,Severin Films,Horror,6.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/247686_medium.jpg?t=1562926719,"Sep 24, 2019"
Killer Force (1976),148649,blu_ray,Kino Lorber,Action; Crime; Thriller,6.4,3D = 0.0; 4K = 0.0; Audio = 3.0; Extras = 2.0; Video = 4.5,https://images2.static-bluray.com/movies/covers/148649_medium.jpg?t=1453718940,"May 17, 2016"
Killer Klowns from Outer Space (1988),195586,blu_ray,Arrow,Horror; Supernatural; Dark humor; Teen; Sci-Fi; Comedy,7.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 5.0; Video = 5.0,https://images2.static-bluray.com/movies/covers/195586_medium.jpg?t=1514053225,"Apr 24, 2018"
The Killing (1956),21865,blu_ray,Criterion,Drama; Film-Noir; Mystery; Crime; Heist; Thriller,8.2,3D = 0.0; 4K = 0.0; Audio = 4.6; Extras = 4.9; Video = 4.6,https://images4.static-bluray.com/movies/covers/21865_medium.jpg?t=1540423607,"Aug 16, 2011"
Kingdom of Heaven (2005),110546,blu_ray,20th Century Fox,Action; Adventure; Epic; War; History; Drama,7.6,3D = 0.0; 4K = 0.0; Audio = 4.9; Extras = 4.5; Video = 4.6,https://images.static-bluray.com/movies/covers/110546_medium.jpg?t=1420169539,"Oct 07, 2014"
Kings of the Sun (1963),122635,blu_ray,Kino Lorber,Adventure; Drama; History,7.6,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 1.0; Video = 2.5,https://images3.static-bluray.com/movies/covers/122635_medium.jpg?t=1427810403,"May 26, 2015"
Kolobos (1999),228238,blu_ray,Arrow,Horror; Mystery; Thriller,6.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 3.5; Video = 4.0,https://images3.static-bluray.com/movies/covers/228238_medium.jpg?t=1546370854,"Mar 12, 2019"
Krampus (2015),145575,blu_ray,Universal Studios,Horror; Dark humor; Holiday; Comedy; Fantasy,6.9,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 3.7; Video = 4.3,https://images.static-bluray.com/movies/covers/145575_medium.jpg?t=1462509012,"Apr 26, 2016"
Krull (1983),224511,blu_ray,Mill Creek Entertainment,Sci-Fi; Adventure; Fantasy; Action,6.6,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 0.0; Video = 4.0,https://images3.static-bluray.com/movies/covers/224511_medium.jpg?t=1543159857,"Jan 15, 2019"
Kung Fu Trailers of Fury (1972-1983),147834,blu_ray,Severin Films,Martial arts; Documentary,6.6,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 3.0; Video = 3.8,https://images3.static-bluray.com/movies/covers/147834_medium.jpg?t=1452807613,1983
Last Action Hero (1993),224432,blu_ray,Mill Creek Entertainment,Action; Imaginary; Comedy,6.8,3D = 0.0; 4K = 0.0; Audio = 3.0; Extras = 0.0; Video = 2.5,https://images3.static-bluray.com/movies/covers/224432_medium.jpg?t=1543152171,"Jan 15, 2019"
The Last of the Mohicans (1992),10898,blu_ray,20th Century Fox,Drama; Epic; History; War; Melodrama; Adventure; Romance,7.9,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 3.2; Video = 3.4,https://images4.static-bluray.com/movies/covers/10898_medium.jpg?t=1362886338,"Oct 05, 2010"
